Housing_Id,heating_features,cooling_features
2881,Central,None
2882,Central Forced Air,Central AC
2883,Forced air,Other
2884,Missing,Missing
2885,Central,Central Air
2887,Electric,Missing
2888,Central Forced Air,None
2889,"Forced air, Gas",None
2890,Missing,"Evaporative, Wall"
2892,Central,Central Air
2893,Missing,Missing
2894,Missing,None
2895,Forced air,Other
2896,"Forced Air, Natural Gas",Central Air
2900,Forced Air,Missing
2901,Missing,See Remarks
2902,Heat Pump,Heat Pump
2903,Central Forced Air - Gas,Central AC
2904,"Forced air, Gas",None
2908,"Gas, Central Forced Air - Gas",None
2909,Missing,Missing
2910,Central Forced Air,None
2911,Missing,None
2912,"Heating - 2+ Zones, Radiant",None
2913,Central Forced Air - Gas,"Central, Wall"
2914,Missing,None
2916,Wall Furnace,None
2917,Central,Central Air
2918,Central Forced Air,Central AC
2919,Forced air,Central
2920,Central Forced Air,None
2922,Central,Central Air
2924,Central,Central Air
2926,Central,Missing
2928,Central,Central Air
2929,Central Forced Air,None
2930,"Forced air, Gas",None
2931,Central Forced Air,None
2933,Other,None
2934,"Central, Gas",Missing
2936,Forced Air - Elec,AC Central
2937,Central,Central Air
2938,Wall Furnace,Wall/Window Unit(s)
2939,Missing,None
2940,"Forced air, Gas",Central
2941,Central Forced Air,None
2943,Forced Air,Central AC
2946,Central,Central Air
2947,Forced air,Central
2948,Central Forced Air,Central AC
2949,"Electric, Wall Furnace",Missing
2950,Central,Central Air
2951,Missing,Missing
2952,Central,Central Air
2953,"Woodstove, Electric",Missing
2954,Other,None
2955,Central,Central Air
2957,Wall Furnace,Ceiling Fan
2958,Central,Central
2959,"Gas, Wall Furnace",Ceiling Fan
2961,Central,Missing
2962,"Forced air, Gas",Central
2963,"Wall, Gas",None
2964,Central,Central Air
2965,Central,Central Air
2967,"Central, Fireplace(s)",Central Air
2968,Missing,Missing
2969,Missing,Missing
2970,"Central, Fireplace(s)",None
2971,Natural Gas,Central
2973,Central Forced Air,None
2975,"Central, Gas",Missing
2976,Gas,Missing
2977,Central Forced Air - Gas,None
2978,Electric,Missing
2979,Missing,Missing
2980,Missing,Missing
2981,Missing,Central Air
2982,"Forced air, Gas, Solar",Central
2983,Central,Central Air
2984,"Forced air, Gas",None
2986,Central,Missing
2991,Central,Central Air
2994,Missing,Wall/Window Unit(s)
2995,Central,Missing
2996,"Gas, Wall Furnace",None
2997,Forced Air,None
2998,"Gas, Forced Air",None
2999,Missing,Missing
3000,Other,None
3002,Forced Air,Missing
3004,Missing,Central Air
3006,Wall,Missing
3007,Stove - Pellet,None
3008,Floor Furnace,Missing
3010,Wall Furnace,None
3011,Missing,Missing
3012,Central,Missing
3014,"Gas, Forced Air",None
3015,Gas,Window / Wall Unit
3017,Central Forced Air - Gas,None
3019,Central Forced Air,None
3021,Missing,Missing
3022,Central,Central Air
3023,"Electric, Baseboard",Window / Wall Unit
3024,Central,Central Air
3026,Gas,Central Forced Air
3028,Central Forced Air - Gas,Central AC
3029,Central Forced Air,Other
3030,Central Forced Air - Gas,Central AC
3031,Missing,None
3032,Missing,Missing
3034,Central,"Central Air, Ceiling Fan(s)"
3035,Wall,Missing
3036,Missing,Missing
3038,Central Forced Air,Central AC
3042,Central Forced Air - Gas,Central AC
3043,Missing,Missing
3045,Combination,Missing
3046,Missing,None
3047,"Wall, Gas",None
3049,Missing,None
3050,Missing,Missing
3051,Missing,None
3054,Central Forced Air,Ceiling Fan
3055,Central,Central Air
3056,Missing,Missing
3057,Central Forced Air - Gas,Central AC
3059,Missing,Missing
3060,Wall Furnace,None
3061,Central,Central
3062,"Central, Forced Air",Central Air
3066,Missing,None
3068,Other,Central
3069,Central,Central Air
3070,"Forced air, Gas",Central
3071,Central,Central Air
3072,Central,Central Air
3075,Missing,Missing
3076,Missing,Missing
3077,Other,None
3079,Other,None
3080,"Central, Gas",Missing
3081,"Forced air, Stove, Propane / Butane, Wood / Pellet",Central
3082,Gas,Central
3083,"Central, Forced Air",None
3086,Central Forced Air,Central AC
3087,Central,Central Air
3088,Central,Missing
3089,"Radiant, Propane, Solar","Central Air, Air Conditioning"
3093,Wall Furnace,Ceiling Fan
3094,Radiant,Missing
3095,Central,"Dual, High Efficiency"
3096,Missing,Missing
3097,Wall Furnace,Wall/Window Unit(s)
3098,"Forced air, Gas",Central
3099,Central Forced Air,Central AC
3100,Central,Central
3102,Missing,Missing
3103,"Forced air, Gas",None
3104,Floor Furnace,None
3105,Forced air,Central
3106,"Central, Gas",Missing
3107,Central,Central Air
3109,"Hot Water, Radiant",Missing
3110,Wall Furnace,None
3111,Forced Air,None
3112,Central,Central Air
3113,"Gas, Forced Air",None
3114,Wall Furnace,None
3115,Baseboard,Missing
3116,"Electric, Gas",Missing
3118,Central Forced Air,Central AC
3120,Central Forced Air,None
3121,Central,None
3124,"Zoned, Natural Gas",Zoned
3125,Central,Central Air
3126,Steam,Missing
3127,Central,Missing
3128,"Natural Gas, Wall Furnace",Missing
3130,Central,Central Air
3132,Natural Gas,Central Air
3133,Central Forced Air,None
3134,Central,Central Air
3135,Central Forced Air,None
3136,"Forced air, Gas",Central
3138,Central,Missing
3139,Missing,Missing
3140,"Gas, Forced Air",Central AC
3141,Central Forced Air - Gas,"Ceiling Fan, Central AC, Window / Wall Unit"
3142,Missing,Missing
3143,Floor Furnace,None
3145,"Central, Gas",Ceiling Fan(s)
3146,Other,Missing
3147,Forced Air,Missing
3149,"Floor Furnace, Wall Furnace",None
3150,Central,Central Air
3151,"Fireplace, Central Forced Air - Gas",Central AC
3152,Central,Missing
3153,Wall Furnace,None
3154,Central,Central Air
3157,Gas,Missing
3158,Central,Central Air
3160,Central,Central Air
3161,Baseboard,None
3162,Central Forced Air,None
3163,Central,"Central Air, Dual"
3166,Forced air,Other
3167,Central,Central Air
3168,"Central, Fireplace(s), Forced Air, Natural Gas","Central Air, Electric"
3169,Missing,Wall/Window Unit(s)
3170,Missing,None
3172,"Central, Fireplace(s)",Missing
3173,Missing,Missing
3176,"Central, Gas",Missing
3178,Electric,Missing
3179,Central Forced Air - Gas,Central AC
3180,Central,Central Air
3182,Central,Central Air
3186,"Wall Furnace, Natural Gas",None
3187,Central,Air Conditioning
3190,"Forced air, Gas",None
3191,Central,Missing
3192,Wall Furnace,None
3193,Central Forced Air - Gas,Central AC
3195,"None, Forced air",Central
3196,Missing,Missing
3197,"None, Forced air, Stove, Wall","Central, Evaporative"
3198,Missing,Central Air
3199,Wall Furnace,None
3200,Central Forced Air - Gas,Central AC
3201,"Central, Forced Air",None
3203,Central Forced Air - Gas,"Ceiling Fan, Central AC"
3205,Central,Central Air
3207,Missing,None
3208,Missing,None
3209,"Other, Gas",Central
3211,Central,Central Air
3214,Central Forced Air - Gas,None
3215,Missing,None
3216,Central,Central Air
3217,Central,Central Air
3218,Central,Central Air
3221,Central,Central
3222,"Gas, Wall Furnace",Missing
3223,Central,Missing
3224,Missing,None
3225,"Combination, Floor Furnace, Natural Gas",Central Air
3226,Missing,Central Air
3227,Wall Furnace,None
3228,Central,"Central Air, Wall/Window Unit(s)"
3229,Central,"Central Air, Dual"
3230,Central,Missing
3231,"Forced Air, Natural Gas",Central Air
3233,"Forced air, Other, Gas",Central
3234,Central,Central Air
3235,Radiant,Wall/Window Unit(s)
3236,"Baseboard, Electric",Missing
3237,Electric,Missing
3238,Gas,None
3239,Missing,Missing
3240,Baseboard,None
3241,Wall Furnace,None
3242,Other,Missing
3243,"Wall Furnace, Central Forced Air",Central AC
3244,Central,Central Air
3246,Central,Central Air
3247,"Forced air, Gas",None
3248,"Central, Fireplace(s)",Missing
3249,Forced Air,"Ceiling Fan(s), Central Air"
3250,Central,Central Air
3252,"Forced air, Gas",Central
3253,Missing,Missing
3255,Central,Central Air
3256,Forced air,Central
3257,Central,Central Air
3258,"Central, Forced Air",Central Air
3259,"Forced air, Gas",Central
3260,"Forced air, Stove, Wood / Pellet",Central
3261,Central,Central Air
3262,Other,Missing
3265,"Central, Gas",Missing
3266,"Forced air, Gas",None
3267,Central Forced Air,None
3269,Central,Central Air
3271,"None, Forced air",None
3273,Central,Central Air
3274,Missing,None
3275,Missing,Missing
3276,Central,Missing
3277,Wall Furnace,None
3280,Missing,Missing
3281,Central,Central Air
3282,Wall Furnace,None
3283,Radiant,None
3286,Central,Central Air
3287,Central,Central Air
3288,"Forced air, Gas",None
3289,Gravity,None
3290,Central,Central Air
3291,Missing,Missing
3293,Radiant,None
3295,None,Missing
3296,Missing,Missing
3299,"Forced air, Gas","Central, Solar"
3301,"Gas, Radiant",Missing
3303,Central,Central Air
3304,"Ductless, Forced Air - Elec, Heat Pump, Mini-Split","AC Central, Ceiling Fans Pre-Wired, Heat Pump"
3305,Central Forced Air,None
3306,"Forced air, Gas",Central
3307,Central Forced Air - Gas,Ceiling Fan
3308,Missing,None
3309,Central,Central
3310,Missing,Missing
3311,Natural Gas,None
3312,Central,Missing
3313,"Central, Natural Gas",Missing
3315,Wall Furnace,None
3318,Central,Central Air
3319,Central Forced Air - Gas,None
3320,Missing,Wall
3321,Central,Missing
3322,Central,Central Air
3323,Missing,None
3324,Missing,Missing
3325,Other,Central
3326,Central,Central Air
3327,"Central, Gas",Missing
3328,Central,Missing
3329,"Forced Air, Radiant Floors",Other
3330,"Central, Wood Stove","Central Air, Ceiling Fan(s)"
3331,Other,Central
3332,Central,"Central, Air Conditioning"
3333,Wall,None
3334,Missing,Missing
3335,Missing,None
3336,"Central, Zoned","Central Air, Dual, Electric, Gas"
3337,Wall Furnace,Missing
3338,"Gas, Floor Furnace",None
3339,Central,Central Air
3342,"Other, Gas",Central
3343,Central,None
3344,Central,Missing
3345,"Forced air, Gas",Central
3347,Central Forced Air,Central AC
3348,Missing,Missing
3349,Other,Central
3350,Radiant,Missing
3351,None,None
3352,Central,Central Air
3353,Central,None
3354,Central Forced Air,None
3356,Central Forced Air,Central AC
3357,Forced air,"Central, Evaporative"
3358,Missing,Missing
3360,"Forced air, Gas",None
3361,Forced Air - Gas,AC Central
3363,Missing,Missing
3364,Forced air,Central
3365,"Central, Natural Gas","Central Air, ENERGY STAR Qualified Equipment, High Efficiency"
3367,Central,Central Air
3369,"Forced air, Gas, Other, Solar","Central, Solar"
3370,"Forced Air, Heating - 2+ Zones",Central AC
3371,Missing,Central Air
3372,Central,Central Air
3373,"Electric, Wall Furnace",Missing
3375,Central,"Central, Air Conditioning"
3376,Central Forced Air,None
3377,"Diesel/oil Space Heater, Wood Stove",Central Air
3379,Other,Missing
3380,"Stove, Solar, Wood / Pellet",Missing
3382,Forced Air,Central Air
3383,Forced Air,None
3384,Central,Central Air
3385,Missing,Missing
3387,Missing,Missing
3388,Missing,Missing
3389,"Central Forced Air - Gas, Solar and Gas, Radiant Floors",None
3390,Forced Air,Missing
3392,Central,Central Air
3393,Central,Central Air
3395,Wall,Central
3397,"Natural Gas, Wall Furnace",Ceiling Fan(s)
3399,Central Forced Air,Window / Wall Unit
3400,Central,Central Air
3401,Central Forced Air - Gas,Central AC
3402,Wall,None
3403,"Natural Gas, Central","Central Air, Ceiling Fan(s), Attic Fan"
3405,Central Forced Air - Gas,Central AC
3407,"Forced air, Stove, Other",Missing
3409,"Fireplace, Central Forced Air",Central AC
3410,Central,Missing
3411,"Gas, Propane, Wood Stove","Ceiling Fan(s), Central"
3413,Central,Missing
3414,"Central, Gas",Missing
3416,Forced Air,Central AC
3417,"None, Forced air",Central
3418,Missing,Central Air
3419,Missing,None
3420,Central,Central Air
3421,Missing,Central Air
3422,"Wall Furnace, Fireplace",None
3423,Missing,Wall/Window Unit(s)
3424,"Natural Gas, Forced Air","Central Air, Gas"
3425,Central Forced Air,None
3426,"Forced air, Gas",None
3427,Central,Central Air
3428,Floor Furnace,None
3429,"None, Other",Missing
3431,Forced air,Missing
3432,Central,Missing
3434,Missing,Missing
3435,Central,"Central Air, Ceiling Fan(s)"
3436,Central,Missing
3438,Central,Room Air
3439,Central,Central Air
3440,Other,Missing
3443,Wall,None
3444,Fireplace(s),None
3445,Central,Central Air
3447,Central,Central Air
3448,Central,Central Air
3450,Wall Furnace,None
3451,"Forced air, Stove, Propane / Butane, Wood / Pellet",Central
3452,Central,Central Air
3454,"Heating - 2+ Zones, Wall Furnace",Window / Wall Unit
3455,Wall Furnace,None
3456,Gas,Central AC
3457,Wall Furnace,Missing
3458,Other,Missing
3459,Central,None
3461,Central,Central Air
3462,Central Forced Air,Central AC
3463,"Forced air, Gas",Wall
3466,Central Forced Air,Ceiling Fan
3467,Central,Central Air
3468,Central Forced Air - Gas,Central AC
3469,Central Forced Air - Gas,Central AC
3471,Central Forced Air - Gas,None
3472,"Forced air, Electric",Central
3473,Wall Furnace,Missing
3474,Central,Central Air
3476,Missing,Missing
3477,Central,Central Air
3478,Central,Central Air
3479,Central,"Central Air, Wall/Window Unit(s)"
3480,Electric,Missing
3482,Forced Air,Central AC
3483,Forced air,None
3484,Missing,Missing
3485,"Wall, Electric",None
3488,Missing,None
3489,Natural Gas,"Central Air, Dual, Electric, Gas"
3490,Missing,Central Air
3492,Central Forced Air,Central AC
3493,Electric,None
3495,"Central, Gas",Missing
3497,Other,Missing
3498,Central,Missing
3499,Central Forced Air,None
3500,Missing,Missing
3501,Wall Furnace,None
3503,Central Forced Air - Gas,None
3504,"Wall, Central, Combination","Wall/Window, Central"
3505,"Forced Air, Radiant",Central AC
3506,Missing,Missing
3507,Central,Central Air
3509,Missing,Missing
3510,Wall Furnace,None
3511,Missing,Central Air
3512,Forced Air,"Ceiling Fan(s), No Air Conditioning"
3513,Central Forced Air - Gas,Central AC
3514,Central Forced Air,None
3515,"Central, Pellet Stove","Central Air, Ceiling Fan(s)"
3517,Central,Central Air
3518,"Forced air, Gas",Central
3519,Wall Furnace,None
3521,"Central, Gas",Missing
3522,"Central, Gas",Missing
3523,Missing,None
3524,Central,Central Air
3525,"Gas, Central Forced Air",Wall
3527,Central,None
3529,Forced Air,Central AC
3530,Baseboard,Missing
3531,Missing,None
3532,Central,None
3534,Central,See Remarks
3536,Central Forced Air - Gas,None
3537,"Central, Gas",Missing
3538,"Wood Burn. Stove, Kerosene/oil",None
3539,Central,Central Air
3540,Central Forced Air,None
3541,Radiant,Missing
3544,Radiant,Central Air
3545,Gas,Central AC
3546,Central,Missing
3548,"Heating - 2+ Zones, Electric",Multi-Zone
3549,Missing,Missing
3550,Missing,None
3551,Central Forced Air,None
3552,"Forced air, Gas",None
3553,"Electric, Forced Air",Missing
3554,Electric,Electric
3555,Central,Missing
3556,Missing,None
3557,Gas,Missing
3558,Central,Central Air
3559,Central,Central Air
3561,Missing,Missing
3563,Central,Central Air
3564,"Central, Gas",Missing
3565,Central,Missing
3567,Central Forced Air,None
3570,Individual Room Controls,Window / Wall Unit
3571,"Forced Air, Wall Furnace",None
3572,Central,Missing
3573,Missing,None
3574,Central,Missing
3575,Central,Ceiling Fan(s)
3576,Missing,None
3579,"Central, Natural Gas",Central Air
3581,"Gas, Forced Air","Ceiling Fan, Central AC"
3582,Missing,Missing
3583,"Gas, Forced Air","Ceiling Fan, Central AC"
3585,Central Forced Air - Gas,Central AC
3586,"Forced air, Wall, Electric",Central
3587,Forced Air,Wall/Window
3588,Central Forced Air - Gas,Central AC
3589,Forced air,Missing
3590,Central Forced Air - Gas,None
3591,Forced Air,None
3592,Missing,Wall/Window Unit(s)
3595,Central,Missing
3596,Central Forced Air,Central AC
3598,"Central Forced Air, Solar and Gas",Central AC
3599,Forced Air,Central AC
3600,Central Forced Air - Gas,Central AC
3601,Other,Missing
3602,Central,Central Air
3603,Central,Central Air
3604,Wall,See Remarks
3605,Central Forced Air,None
3606,"Central, ENERGY STAR Qualified Equipment","Central Air, ENERGY STAR Qualified Equipment"
3609,Missing,Gas
3610,Central,Central Air
3611,Central,Central Air
3612,"Forced air, Other, Radiant, Gas",Missing
3613,Forced Air,None
3614,Forced Air,Evaporative Cooling
3615,Central Forced Air,None
3616,Central,Missing
3617,Missing,Missing
3618,Central,None
3620,Forced Air,None
3621,Central,Central Air
3622,Missing,Missing
3624,Central,Central Air
3626,Forced Air,None
3627,Missing,Central Air
3628,Central Forced Air,Central AC
3631,"Gas, Heating - 2+ Zones, Wall Furnace, Floor Furnace, Fireplace, Radiant Floors",None
3632,Missing,Missing
3633,"Gas, Wall Furnace, Floor Furnace, Baseboard",None
3634,"Forced air, Radiant, Gas",Missing
3636,Gas,Other
3638,"Forced air, Gas",Central
3640,Central,Missing
3641,Forced Air,Central Air
3642,"Electric, Wall Furnace",Missing
3644,Central,Missing
3645,Central Forced Air,Central AC
3646,"Forced air, Gas",None
3647,"Other, Electric",Missing
3648,Missing,Missing
3649,Missing,Missing
3650,"Forced air, Gas",Central
3651,"Gas, Forced Air",None
3652,"Forced air, Electric",Central
3655,Wall Furnace,None
3657,Radiant,Missing
3659,"Forced air, Gas",None
3660,Central Forced Air,Central AC
3661,Radiant,Missing
3663,Central,Missing
3664,Central,Central Air
3666,Forced Air,Central AC
3667,Floor Furnace,Missing
3668,Central,Central Air
3670,"Forced air, Other, Gas",Central
3671,Central,"Central Air, Dual"
3673,Gas,Other
3674,Central,Central
3675,Forced Air,"Ceiling Fan(s), No Air Conditioning"
3676,Central,Central
3677,Central,Central Air
3678,Other,Missing
3679,Other,Other
3681,Central,Central Air
3682,"Forced air, Gas",None
3683,Central,"Dual, Zoned, Central Air"
3687,Missing,Missing
3689,Other,Missing
3690,Missing,Central
3694,Central,"Central Air, Gas"
3695,See Remarks,Other-Rmks
3696,Central,Missing
3697,Central,Central Air
3698,Other,Missing
3699,Central Forced Air - Gas,None
3702,Central,Central Air
3704,Central,Missing
3705,Missing,Missing
3706,Central Forced Air,Central AC
3707,Central Forced Air,Central AC
3708,"Central Forced Air, Stove - Wood",None
3709,Missing,Missing
3713,Wall Furnace,Missing
3714,Central Forced Air,Missing
3715,Missing,Missing
3716,"Central, Gas",Missing
3717,Electric,Missing
3719,Central,Central
3721,Wall Furnace,None
3722,Central,Central Air
3724,Propane,"Wall/Window Unit(s), Electric, Gas"
3725,Wall Furnace,Wall/Window Unit(s)
3726,"Central, Gas",Missing
3727,Central,Missing
3728,Central,Central Air
3729,Central,Central Air
3731,Central Forced Air,None
3732,Central,Missing
3734,Central Forced Air - Gas,None
3735,Central,None
3736,"None, Forced air",Other
3737,Gas,None
3739,Forced air,Other
3740,Wall Furnace,Missing
3741,Central,Air Conditioning
3742,"Central, Gas",Missing
3743,Forced Air,Central AC
3744,"Central, Natural Gas","Central Air, Electric"
3745,Central Forced Air,"Multi-Zone, Central AC"
3746,Central,Central Air
3748,Missing,Central Air
3749,Central,Central Air
3752,Missing,None
3755,Central Forced Air,Central AC
3757,Central,Central Air
3758,Other,Missing
3760,"Gravity, Wall Furnace",None
3761,Central Forced Air,Other
3762,Central,Missing
3763,Central,"Window Unit(s), Ceiling Fan(s)"
3764,Forced Air,Central AC
3766,Wall Furnace,Wall/Window Unit(s)
3767,Missing,Missing
3769,"Central, See Remarks",None
3770,Forced air,Central
3771,"Forced air, Gas",Wall
3772,Missing,Missing
3773,Missing,None
3774,Missing,Missing
3775,Central Forced Air - Gas,Central AC
3776,"Electric, Wall Furnace",Missing
3777,Central,Central Air
3779,Wall,Missing
3780,Central,Missing
3781,Electric,Missing
3782,"Gas, Forced Air",Central AC
3783,Wall Furnace,Wall
3785,Central,Central Air
3786,Forced air,Central
3787,Missing,None
3788,Heat Pump,AC Central
3789,Electric,Electric
3790,Central,Central Air
3792,Wall Furnace,Whole House Fan
3793,Radiant,Missing
3795,Steam,Missing
3798,"Central Forced Air, Gas",Central AC
3799,Gas,Central Air
3801,Central,Central Air
3802,"Forced air, Gas",Central
3803,Central,Central Air
3804,Missing,None
3806,Forced air,Central
3808,Central,Central Air
3809,Radiant Floors,None
3810,Wall Furnace,None
3811,Central Forced Air - Gas,None
3812,Missing,Central Air
3813,Wall Furnace,None
3814,Wall Furnace,Wall/Window Unit(s)
3815,Missing,Missing
3817,Central,Central Air
3820,Central,Central Air
3823,Other,None
3824,Missing,Missing
3827,"Natural Gas, Wall Furnace",None
3828,Central,Central Air
3830,Missing,Central Air
3831,Floor Furnace,None
3832,Central Forced Air,Central AC
3833,Central,Air Conditioning
3834,Baseboard,Missing
3835,Wall Furnace,Ceiling Fan(s)
3837,Radiant,Missing
3838,"Propane, Wood, Fireplace(s), Wood Stove",None
3839,Central,Central Air
3840,Central Forced Air,Central AC
3843,Other,Missing
3845,"Fireplace, Central Forced Air - Gas","Ceiling Fan, Central AC"
3846,Other,None
3847,Central,Central Air
3848,Missing,Missing
3849,"See Remarks, Varies by Unit","Varies by Unit, Other-Rmks"
3850,Electric,Window Unit(s)
3852,Forced air,Central
3854,Missing,None
3855,"Central, Gas",Missing
3856,Wall Furnace,None
3857,Central Forced Air,"Ceiling Fan, Central AC"
3858,Central,Missing
3860,Forced air,Central
3861,Central,Missing
3863,Forced Air,Central AC
3865,"Central, Gas",Missing
3866,Central,Missing
3867,Central Forced Air,None
3868,Forced Air,Missing
3869,Forced Air,Central Air
3870,"Forced air, Gas",None
3871,"Fireplace, Central Forced Air",Central AC
3872,Central,Central Air
3873,Central,Missing
3874,Forced Air,Other
3876,Central,None
3877,"Forced air, Gas, Solar",None
3880,Central,Missing
3881,Central Forced Air - Gas,None
3884,Floor Furnace,None
3885,Central,Central Air
3886,Central Forced Air,None
3887,Other,Missing
3888,"Central, Gas",Central Air
3889,Missing,Missing
3890,Central Forced Air,None
3891,Missing,Missing
3892,Radiant,None
3895,Central,Central Air
3896,"Central, Wall Furnace",Central Air
3897,Forced Air,Central AC
3898,Other,Missing
3900,"Natural Gas, Wall Furnace, Propane",No Air Conditioning
3901,Central,Central Air
3902,Missing,None
3903,Central,Central Air
3906,Forced Air,Missing
3907,Central Forced Air - Gas,"Ceiling Fan, Window / Wall Unit"
3908,"Central, Forced Air, Propane, Wood Stove",Evaporative Cooling
3909,Forced air,Missing
3910,Central,Missing
3912,Floor Furnace,None
3915,Missing,Missing
3916,"Forced air, Gas",None
3917,None,None
3918,Missing,Missing
3920,Central,"Central, Air Conditioning"
3921,Central,None
3922,Central,Missing
3923,"Forced air, Gas",Central
3924,"Baseboard, Central",Central Air
3925,"None, Other",Missing
3926,Zoned,Missing
3928,Electric,Missing
3929,Central,Central Air
3930,Baseboard,Window / Wall Unit
3931,Central,Central Air
3932,"Forced Air, Natural Gas",Central
3933,Central Forced Air - Gas,None
3934,Central,Central Air
3935,"Forced air, Gas",Central
3936,Wall,Central
3937,Central,Central Air
3938,Wall Furnace,None
3940,Central,Central Air
3941,Wall Furnace,None
3943,Central,Missing
3944,Central Forced Air,Central AC
3945,"Forced air, Other",Central
3946,Electric,Missing
3948,See Remarks,None
3949,Missing,Missing
3951,Missing,None
3952,Gas,None
3955,Wall Furnace,Other
3956,Central Forced Air - Gas,Central AC
3957,Missing,Missing
3958,Missing,None
3959,Forced air,Central
3960,Missing,None
3962,Wall Furnace,None
3963,"Central, Electric, Gas, Radiant",Central Air
3964,Central Forced Air - Gas,None
3965,Missing,Central Air
3966,Combination,Dual
3967,Forced Air,Central Air
3969,Wall Furnace,None
3971,Central,Central Air
3973,Other,Missing
3974,Forced air,Other
3975,Other,Missing
3976,Missing,Missing
3978,Wall Furnace,Missing
3980,Missing,Central Air
3981,Central Forced Air,None
3982,Missing,Missing
3983,Central,Central Air
3984,Forced Air,Central AC
3986,Missing,Missing
3987,Missing,Missing
3988,Natural Gas,"Central Air, Ceiling Fan(s)"
3990,Central,Missing
3991,"Central, Fireplace(s)",Missing
3992,Central,Central Air
3995,Central,Central Air
3996,Missing,None
3997,Wall Gas,"Wall/Window, Ceiling Fan"
3998,Central,Central Air
4001,Central,Missing
4002,Central,Central Air
4003,Central,Central Air
4005,Wall Furnace,Wall/Window Unit(s)
4006,Missing,Wall/Window Unit(s)
4007,Propane,"AC Central, Ceiling Fans"
4008,"None, Forced air",Central
4010,Forced Air,None
4012,Central,Central Air
4013,Central Forced Air,None
4014,Central,Central Air
4016,Central,Central Air
4017,Central Forced Air,Central AC
4018,Missing,None
4019,Missing,Missing
4020,Central,Central Air
4021,Fireplace,None
4022,Central Forced Air,None
4023,Central Forced Air,Central AC
4024,Missing,Missing
4027,Gas,Missing
4028,Forced Air - Elec,AC Central
4029,Missing,Wall
4030,Central Forced Air,Central AC
4032,Central,Missing
4033,Wall Furnace,Missing
4034,Central Forced Air - Gas,Ceiling Fan
4035,"Propane, Woodstove, Forced Air",Missing
4036,Central Forced Air,Central AC
4038,Missing,Missing
4040,Missing,None
4041,Missing,None
4043,Missing,None
4046,Other,Missing
4047,Central Forced Air,None
4048,Central,Central Air
4050,Central,Missing
4051,Forced Air,None
4052,Central,Central Air
4055,"Radiant, Electric, Radiant Floors, Individual Room Controls",Multi-Zone
4056,Wall Furnace,None
4057,Central Forced Air,None
4059,Central,Missing
4060,Central,Central Air
4061,Central Forced Air,Central AC
4063,Missing,Missing
4064,Missing,Missing
4066,Central,None
4068,Central,Central Air
4070,Missing,None
4071,Central Forced Air,None
4072,Central,Central Air
4073,"Forced air, Gas",Central
4074,Missing,Missing
4075,Wall Furnace,None
4076,Central Forced Air,Central AC
4077,Missing,Missing
4078,Other,Missing
4079,"Fireplace, Central Forced Air",Central AC
4080,Central Forced Air,Central AC
4082,Central,Missing
4083,Central,Central Air
4084,"Gas, Wall Furnace",None
4085,None,Central
4087,Missing,None
4088,Missing,None
4089,Central Forced Air,Ceiling Fan
4090,Central,Central Air
4092,Central,Central Air
4094,Missing,Missing
4095,Central Forced Air - Gas,None
4097,Central,Central Air
4098,Central,Missing
4099,Radiant,Missing
4100,Other,Other
4101,Missing,Missing
4103,"Radiant, Heatpump In Guesthse","AC Central, Ceiling Fans, Mini-split In Famrm"
4104,"Propane, Central","Central Air, Attic Fan"
4105,"Gravity, Forced Air","Ceiling Fan(s), Central Air"
4106,"Forced air, Gas",Central
4107,Natural Gas,Evaporative Cooling
4110,"Forced air, Gas",Central
4111,Forced air,Central
4113,Wall,Missing
4114,Central,Central Air
4115,Missing,Missing
4116,"Baseboard, Forced air, Electric, Gas",Central
4118,Central,Central Air
4119,Central,Central Air
4120,Central Forced Air,Central AC
4121,Central,Central Air
4122,Central,Missing
4125,"Gas, Wall Furnace",Missing
4126,Central,Central Air
4127,Missing,None
4128,Central Forced Air - Gas,Central AC
4131,Central,Central
4133,Central,Central Air
4134,Wall Furnace,None
4135,"Electric, Wall Furnace",Missing
4136,Central,Central Air
4137,Central,Central Air
4138,Central,Missing
4139,Central,Missing
4141,Central,Central Air
4143,Central,Central Air
4144,Central Forced Air,None
4146,Missing,Missing
4147,See Remarks,Wall/Window Unit(s)
4150,Central Forced Air - Gas,None
4151,Natural Gas,Central Air
4152,"Forced air, Electric, Solar","Central, Solar"
4153,Missing,Missing
4156,"Forced air, Electric, Solar","Central, Solar"
4157,Missing,Missing
4158,Missing,Central Air
4159,Forced air,Central
4160,Central,Missing
4161,Forced Air,Central AC
4162,Central,Central
4163,Missing,None
4164,Central,Central Air
4166,Forced air,None
4167,Central Forced Air - Gas,Ceiling Fan
4169,Central,Central Air
4170,Central,Central Air
4171,Missing,Missing
4173,Wall Furnace,Missing
4174,Forced Air,Wall/Window Unit(s)
4175,Wall Furnace,Missing
4176,Central Forced Air - Gas,Central
4177,Fireplace,None
4178,Central,Missing
4179,Central Forced Air,Central AC
4180,Central,Central Air
4183,Central,Missing
4186,Central Forced Air,Central AC
4187,Wall Furnace,None
4188,Central Forced Air,Central AC
4189,Missing,Central Air
4190,See Remarks,Other-Rmks
4191,Other,None
4192,Forced Air,"Central AC, Whole House / Attic Fan"
4193,Missing,Missing
4194,Missing,Missing
4195,Central,Central Air
4196,Missing,None
4197,Central Forced Air,None
4198,Central Forced Air,Other
4200,Combination,Central Air
